CAD,AUD,1.023,2026-04-12 17:07:01
CAD,MXN,12.523,2026-04-12 17:07:01
CAD,JPY,115.1446,2026-04-12 17:07:01
CAD,EUR,0.6171,2026-04-12 17:07:01
CAD,GBP,0.5375,2026-04-12 17:07:01
CAD,COP,2633.6171,2026-04-12 17:07:01
CAD,USD,0.7231,2026-04-12 17:07:01
CAD,BRL,3.6495,2026-04-12 17:07:01
CAD,AUD,1.023,2026-04-12 17:12:39
CAD,MXN,12.523,2026-04-12 17:12:39
CAD,JPY,115.1446,2026-04-12 17:12:39
CAD,EUR,0.6171,2026-04-12 17:12:39
CAD,GBP,0.5375,2026-04-12 17:12:39
CAD,COP,2633.6171,2026-04-12 17:12:39
CAD,USD,0.7231,2026-04-12 17:12:39
CAD,BRL,3.6495,2026-04-12 17:12:39
CAD,AUD,1.0235,2026-04-13 22:36:20
CAD,MXN,12.5491,2026-04-13 22:36:20
CAD,JPY,115.4941,2026-04-13 22:36:20
CAD,EUR,0.6172,2026-04-13 22:36:20
CAD,GBP,0.5373,2026-04-13 22:36:20
CAD,COP,2631.9439,2026-04-13 22:36:20
CAD,USD,0.7245,2026-04-13 22:36:20
CAD,BRL,3.6273,2026-04-13 22:36:20
